"","SampleID","Age Interval","Period","DonorID","Sex","Structure Acronym","Regions","Hemisphere","PMI (hours)","Sequencing Batch","Chimeric Pairs","Percent aligned ChrX","Percent aligned ChrY","AUC all percentage","AUC unique percentage","Mode Fragment Length Count","Exonic Rate","Total fragments assigned exon fc","Total fragments count unique exon fc","Total fragments count unique assigned exon fc","Total Assigned Gene","Intronic Rate","Percentage mapped multi loci STAR","Percentage mapped too many loci STAR","Percentage unmapped other STAR","Reads Mapped","Total N Reads","Mapping Rate","Mapping Rate unique","Mapping Rate both","Junction count","Mapped Pairs","Percentage mapped multi loci both STAR","Percentage mapped too many loci both STAR"
"587","ERR1473537","16-18pcw","Prenatal","11947_donorID","F","TEL","Forebrain","R",8.33333333333333,"sequencing batch:FC2014_037",3.85,2.97,0.02,137.11,139.95,271543,82.41,37054543,55410102,37054543,36500789,4.53,6.83,0.04,0.01,44961474,46175367,90.54,41805579,97.4,242208,44961474,6.8,0
"588","ERR1473538","8-9pcw","Prenatal","11912_donorID","M","TEL","Forebrain","R",2,"sequencing batch:FC2014_066, FC2014_117",2.75,3.16,0.15,126.52,127.88,124961,69.54,15636692,25232210,15636692,15547355,13.12,4.63,0.05,0.04,22485094,23186150,92.35,21411904,97,177960,22485094,4.6,0
"589","ERR1473539","8-9pcw","Prenatal","11912_donorID","M","TEL","Forebrain","R",2,"sequencing batch:FC2014_066, FC2014_117",2.8,3.16,0.15,126.62,128,137451,69.64,17331525,27966109,17331525,17235259,13.04,4.68,0.05,0.04,24888279,25634442,92.41,23689230,97.1,184825,24888279,4.7,0
"590","ERR1473540","8-9pcw","Prenatal","11912_donorID","M","TEL","Forebrain","L",2,"sequencing batch:FC2014_066",2.26,3.11,0.15,125.71,126.77,299388,70.57,40403978,62733812,40403978,40103190,12.79,4.03,0.05,0.04,57255343,58748779,93.43,54889341,97.5,225023,57255343,4,0
"591","ERR1473541","13-15pcw","Prenatal","1290_donorID","M","TEL","Forebrain","L",18.1666666666667,"sequencing batch:FC2014_055",1.8,2.58,0.08,133.4,136.97,241506,83.07,37406289,59242473,37406289,37327044,3.2,8.46,0.04,0.01,45027818,46127124,89.16,41126238,97.6,266217,45027818,8.5,0
"592","ERR1473542","10-12pcw","Prenatal","11609_donorID","F","TEL","Forebrain","R",NA,"sequencing batch:FC2014_047",0.71,2.89,0.01,132.12,135.2,199172,76.14,33772479,56356334,33772479,33593075,7.96,7.77,0.07,0.03,44354579,45268693,90.22,40839422,98,276018,44354579,7.8,0.1
"593","ERR1473543","10-12pcw","Prenatal","1123_donorID","Unknown","TEL","Forebrain","L",0.75,"sequencing batch:FC2014_047",0.77,1.12,0.04,117.93,138.06,383694,61.54,31681600,133425075,31681600,33419062,4.7,27.83,0.1,0.02,51484736,54999205,65.78,36180081,93.6,130575,51484736,27.8,0.1
"594","ERR1473544","10-12pcw","Prenatal","11666_donorID","M","TEL","Forebrain","R",NA,"sequencing batch:FC2014_080",1.55,2.68,0.11,129.41,131.61,243044,74.02,37039524,60905576,37039524,36635712,9.71,6.15,0.06,0.03,50037379,51004284,91.95,46899041,98.1,285892,50037379,6.2,0.1
"595","ERR1473545","10-12pcw","Prenatal","11666_donorID","M","TEL","Forebrain","L",NA,"sequencing batch:FC2014_080",0.97,2.68,0.1,126.55,129.59,150797,69.53,22189508,41349633,22189508,22000529,11.7,7.36,0.08,0.03,31915103,32630976,90.45,29514098,97.8,258929,31915103,7.4,0.1
"596","ERR1473546","10-12pcw","Prenatal","11683_donorID","F","TEL","Forebrain","R",16,"sequencing batch:FC2014_080",2.18,2.97,0.01,132.12,134.47,208253,79.36,32517957,50168040,32517957,32119069,6.23,6.38,0.05,0.03,40975480,42185466,90.75,38282272,97.1,268177,40975480,6.4,0.1
"597","ERR1473547","10-12pcw","Prenatal","11653_donorID","M","TEL","Forebrain","R",NA,"sequencing batch:FC2014_080",2.16,2.81,0.08,131.09,133.23,202420,77.25,34609303,53932726,34609303,34250655,7.7,6.05,0.06,0.03,44802201,46054492,91.23,42014191,97.3,286415,44802201,6.1,0.1
"598","ERR1473548","10-12pcw","Prenatal","11653_donorID","M","TEL","Forebrain","L",NA,"sequencing batch:FC2014_081",2.17,2.84,0.1,132.46,134.37,215850,79.03,37390935,56190781,37390935,36920489,6.88,5.83,0.05,0.02,47314885,48212301,92.31,44504362,98.1,281186,47314885,5.8,0.1
"599","ERR1473549","10-12pcw","Prenatal","1123_donorID","Unknown","TEL","Forebrain","L",0.75,"sequencing batch:FC2014_047",1.28,1.92,0.07,128.3,138.93,453258,73.61,49995634,123818553,49995634,50876605,4.17,16.52,0.07,0.02,67916572,72962839,76.56,55863178,93.1,162362,67916572,16.5,0.1
"600","ERR1473550","10-12pcw","Prenatal","1123_donorID","Unknown","TEL","Forebrain","L",0.75,"sequencing batch:FC2014_047",0.73,1.36,0.04,121.7,138.93,342733,66.68,31783023,111668360,31783023,33028153,3.6,24.49,0.06,0.01,47666637,50256913,70.36,35359614,94.8,160067,47666637,24.5,0.1
"601","ERR1473551","10-12pcw","Prenatal","11666_donorID","M","TEL","Forebrain","R",NA,"sequencing batch:FC2014_080",2.57,1.2,0.06,125.47,138.24,254983,61.54,27239241,93045810,27239241,28776062,9.33,20.05,0.09,0.03,44260403,49280572,69.76,34377669,89.8,206632,44260403,20.1,0.1
"602","ERR1473552","10-12pcw","Prenatal","11666_donorID","M","TEL","Forebrain","R",NA,"sequencing batch:FC2014_080",1.6,2.58,0.09,130.66,133.65,255018,74.59,36698790,63497700,36698790,36417866,8.8,7.58,0.06,0.03,49202156,50456091,89.93,45376680,97.5,266618,49202156,7.6,0.1
"603","ERR1473553","10-12pcw","Prenatal","11666_donorID","M","TEL","Forebrain","L",NA,"sequencing batch:FC2014_080",1.23,2.79,0.11,128.41,130.43,189585,72.39,28602478,47405080,28602478,28276088,10.65,5.81,0.06,0.03,39510739,40628933,91.44,37151968,97.2,267844,39510739,5.8,0.1
"604","ERR1473554","10-12pcw","Prenatal","11653_donorID","M","TEL","Forebrain","R",NA,"sequencing batch:FC2014_089",2.08,2.87,0.1,130.27,131.92,187579,74.22,32801011,51457379,32801011,32376624,10.12,5.29,0.06,0.03,44196637,45470012,91.91,41792629,97.2,279324,44196637,5.3,0.1
"605","ERR1473555","10-12pcw","Prenatal","11683_donorID","F","TEL","Forebrain","R",16,"sequencing batch:FC2014_089",2.02,3.02,0.01,130.58,132.53,212214,77.07,36879790,57040243,36879790,36471241,8.18,5.87,0.05,0.03,47853528,48595761,92.6,44999398,98.5,285285,47853528,5.9,0.1
"606","ERR1473556","10-12pcw","Prenatal","11683_donorID","F","TEL","Forebrain","L",16,"sequencing batch:FC2014_089",2.12,3.01,0.01,130.45,132.49,155576,76.65,27616341,43135102,27616341,27284665,8.34,5.89,0.05,0.03,36031194,36737159,92.19,33868938,98.1,264646,36031194,5.9,0.1
"607","ERR1473557","10-12pcw","Prenatal","11653_donorID","M","TEL","Forebrain","L",NA,"sequencing batch:FC2014_080",1.96,2.84,0.1,130.42,132.16,188555,77.33,31951138,48343824,31951138,31595141,8.04,5.42,0.06,0.03,41319950,42233312,92.42,39030399,97.8,273948,41319950,5.4,0.1
"608","ERR1473558","10-12pcw","Prenatal","1123_donorID","Unknown","TEL","Forebrain","L",0.75,"sequencing batch:FC2014_047",1.05,1.36,0.04,122.15,140.15,329436,65.87,30084281,109019071,30084281,31411428,3.59,24.42,0.07,0.01,45670165,49792583,67.3,33508755,91.7,144744,45670165,24.4,0.1
"609","ERR1473559","10-12pcw","Prenatal","1123_donorID","Unknown","TEL","Forebrain","L",0.75,"sequencing batch:FC2014_047",1.29,1.58,0.05,125.55,139.2,304833,70.21,30895574,91162975,30895574,31728333,4.09,20.35,0.06,0.01,44005362,46325449,74.64,34579048,95,166357,44005362,20.3,0.1
"610","ERR1473560","10-12pcw","Prenatal","1123_donorID","Unknown","TEL","Forebrain","L",0.75,"sequencing batch:FC2014_047",1.47,1.89,0.06,127.69,138.37,378054,73.77,41222829,102504576,41222829,42076207,4.02,16.15,0.06,0.01,55881787,61453881,74.78,45955173,90.9,157786,55881787,16.2,0.1
"611","ERR1473561","8-9pcw","Prenatal","11820_donorID","F","TCx","Forebrain","L",NA,"sequencing batch:FC2014_035",2.4,2.92,0.01,132.3,135.03,240475,77.47,35625523,57078677,35625523,35138763,7.38,6.75,0.06,0.03,45984016,46694468,91.73,42833582,98.5,287080,45984016,6.7,0.1
"612","ERR1473562","13-15pcw","Prenatal","1117_donorID","Unknown","TCx","Forebrain","L",2.33333333333333,"sequencing batch:FC2014_054, FC2014_151",1.4,1.79,0.06,126.88,139.6,205104,71.45,18442228,50886191,18442228,18819305,4.04,19.09,0.05,0.01,25812988,27110684,76.12,20636559,95.2,106774,25812988,19.1,0.1
"613","ERR1473563","13-15pcw","Prenatal","1117_donorID","Unknown","TCx","Forebrain","L",2.33333333333333,"sequencing batch:FC2014_054, FC2014_151",1.47,1.75,0.06,126.28,139.65,221823,71.2,20795437,58230396,20795437,21234060,3.94,19.81,0.04,0.01,29207693,30185686,76.95,23229096,96.8,108956,29207693,19.8,0
"614","ERR1473564","13-15pcw","Prenatal","11900_donorID","M","TCx","Forebrain","R",17,"sequencing batch:FC2014_055",1.61,2.66,0.09,130.95,135.01,270251,74.44,35455729,64177525,35455729,35051861,8.32,8.54,0.06,0.03,47631542,49026470,88.61,43442771,97.2,271095,47631542,8.5,0.1
"615","ERR1473565","13-15pcw","Prenatal","11900_donorID","M","TCx","Forebrain","",17,"sequencing batch:FC2014_055",2.48,2.73,0.08,132.44,137.24,214792,77.68,29561193,52950959,29561193,29247026,5.62,9.32,0.05,0.02,38053586,39224932,87.69,34397270,97,250902,38053586,9.3,0.1
"616","ERR1473566","10-12pcw","Prenatal","11885_donorID","M","TCx","Forebrain","R",NA,"sequencing batch:FC2014_043",3.05,2.74,0.1,130.11,133.37,173154,74.1,25250602,43785891,25250602,24996994,9.6,7.33,0.05,0.03,34077155,34713411,90.83,31531308,98.2,254953,34077155,7.3,0
"617","ERR1473567","10-12pcw","Prenatal","1110_donorID","Unknown","TCx","Forebrain","R",0.5,"sequencing batch:FC2014_047",2.67,1.77,0.06,128.35,139.73,379583,71.47,37572812,98892154,37572812,38093456,5.3,17.15,0.05,0.02,52571864,54518515,79.28,43220659,96.4,188925,52571864,17.2,0.1
"618","ERR1473568","10-12pcw","Prenatal","11833_donorID","F","TCx","Forebrain","R",30,"sequencing batch:FC2014_044",0.83,3.16,0.01,129.34,131.43,208787,74.09,31368674,50109688,31368674,30945181,9.64,5.84,0.07,0.03,42337031,43397077,91.72,39804147,97.6,282605,42337031,5.8,0.1
"619","ERR1473569","8-9pcw","Prenatal","1851_donorID","Unknown","TCx","Forebrain","",NA,"sequencing batch:FC2014_048",1.22,2.05,0.01,131.99,141.53,317507,77.37,37581194,84571764,37581194,38248898,2.69,15.89,0.04,0.01,48572684,50042801,81.18,40622340,97.1,234276,48572684,15.9,0
"620","ERR1473570","13-15pcw","Prenatal","1117_donorID","Unknown","TCx","Forebrain","L",2.33333333333333,"sequencing batch:FC2014_050",0.9,1.18,0.03,120.76,142.07,317720,64.39,28859423,114439194,28859423,29973136,2.99,27.98,0.07,0.01,44820065,46725893,67.94,31743865,95.9,135484,44820065,28,0.1
"621","ERR1473571","10-12pcw","Prenatal","1123_donorID","Unknown","TCx","Forebrain","L",0.75,"sequencing batch:FC2014_065",0.97,1.52,0.05,127.12,140.95,389722,71.76,40522688,116936895,40522688,41344940,3.38,20.55,0.05,0.01,56472966,57909765,76.97,44571512,97.5,221032,56472966,20.6,0.1
"622","ERR1473572","10-12pcw","Prenatal","1111_donorID","Unknown","TCx","Forebrain","R",0.5,"sequencing batch:FC2014_065",1.01,1.56,0.04,127.57,140.26,317061,73.34,37245738,103149649,37245738,37950545,2.54,20.04,0.05,0.01,50786369,51984439,77.66,40369851,97.7,230041,50786369,20,0.1
"623","ERR1473573","8-9pcw","Prenatal","11820_donorID","F","TCx","Forebrain","R",NA,"sequencing batch:FC2014_032",2.65,2.91,0.01,132.1,134.65,325666,76.15,45681558,73536424,45681558,45091237,8.3,6.53,0.06,0.03,59992136,61156028,91.56,55996194,98.1,311396,59992136,6.5,0.1
"624","ERR1473574","8-9pcw","Prenatal","11845_donorID","M","TCx","Forebrain","L",2,"sequencing batch:FC2014_043",3.83,2.89,0.1,135.14,137.33,273984,81.82,39990067,57653284,39990067,39601165,4.74,6.27,0.04,0.02,48874826,49536114,92.4,45770346,98.7,281171,48874826,6.3,0
"625","ERR1473575","8-9pcw","Prenatal","11845_donorID","M","TCx","Forebrain","R",2,"sequencing batch:FC2014_043",3.17,2.9,0.1,132.28,134.88,220248,78.5,35306828,54664580,35306828,34869376,6.43,6.36,0.05,0.02,44974391,45834924,91.77,42060717,98.1,294528,44974391,6.4,0
"626","ERR1473576","8-9pcw","Prenatal","11851_donorID","F","TCx","Forebrain","R",4,"sequencing batch:FC2014_043",2.37,3.28,0.01,132.57,135.18,225227,79.72,34287827,52421607,34287827,33643814,6.01,6.21,0.04,0.02,43010741,43820028,91.95,40291584,98.2,280956,43010741,6.2,0
"627","ERR1473577","8-9pcw","Prenatal","11873_donorID","F","TCx","Forebrain","R",18,"sequencing batch:FC2014_066",3.03,3.4,0.01,128.4,129.72,263861,70.75,34330214,54202562,34330214,33963891,12.04,4.59,0.06,0.04,48523838,50465960,91.56,46207290,96.2,254156,48523838,4.6,0.1
"628","ERR1473578","16-18pcw","Prenatal","11907_donorID","F","TCx","Forebrain","R",16.6666666666667,"sequencing batch:FC2014_054",2.8,3.16,0.01,134.34,136.71,207019,78.68,27582635,42452774,27582635,27177127,6.57,6.57,0.06,0.02,35058568,36179552,90.34,32682832,96.9,238659,35058568,6.6,0.1
"629","ERR1473579","10-12pcw","Prenatal","1118_donorID","Unknown","TCx","Forebrain","R",0.583333333333333,"sequencing batch:FC2014_055",2.06,1.94,0.07,130.13,140.46,284232,75.5,31934704,75774364,31934704,32534225,3.4,16.79,0.05,0.01,42298382,43425642,80.61,35005362,97.4,189352,42298382,16.8,0
"630","ERR1473580","10-12pcw","Prenatal","11834_donorID","M","TCx","Forebrain","L",3.83333333333333,"sequencing batch:FC2014_055",2.48,2.97,0.08,133.72,136.3,318198,82.9,50478153,74560118,50478153,49927375,4.33,6.61,0.03,0.02,60890798,62357032,91.04,56766728,97.6,297081,60890798,6.6,0
"631","ERR1473581","10-12pcw","Prenatal","11834_donorID","M","TCx","Forebrain","R",3.83333333333333,"sequencing batch:FC2014_058",2.9,2.84,0.09,135.71,138.44,248460,82.09,36362928,54505013,36362928,36037498,4.84,7.19,0.04,0.01,44295223,45374476,90.43,41031778,97.6,252451,44295223,7.2,0
"632","ERR1473582","10-12pcw","Prenatal","11885_donorID","M","TCx","Forebrain","L",NA,"sequencing batch:FC2014_043",2.33,3.03,0.12,129.88,131.3,288722,73.26,42705756,66192877,42705756,42275376,11.17,5.06,0.05,0.03,58294567,59396134,93.09,55289523,98.1,311505,58294567,5.1,0.1
"633","ERR1473583","10-12pcw","Prenatal","11885_donorID","M","TCx","Forebrain","R",NA,"sequencing batch:FC2014_047",1.89,2.78,0.11,129.33,131.44,220025,75.39,34199437,54238201,34199437,33967847,9.5,6.14,0.05,0.03,45363754,46250370,91.94,42523394,98.1,292144,45363754,6.1,0.1
"634","ERR1473584","10-12pcw","Prenatal","11930_donorID","F","TCx","Forebrain","R",3,"sequencing batch:FC2014_075",1.05,1.75,0.01,117.08,124.04,229575,50.49,20202970,70029843,20202970,20844295,21.31,14.29,0.08,0.06,40010442,40625696,84.2,34205409,98.5,250713,40010442,14.3,0.1
"635","ERR1473585","10-12pcw","Prenatal","11841_donorID","M","TCx","Forebrain","R",2,"sequencing batch:FC2014_044",2.06,2.33,0.09,125.54,130.03,199953,66.88,26397139,56857444,26397139,26369631,12.11,9.43,0.06,0.04,39471865,40451546,88.15,35656875,97.6,285192,39471865,9.4,0.1
"636","ERR1473586","13-15pcw","Prenatal","11947_donorID","F","TCx","Forebrain","R",8.33333333333333,"sequencing batch:FC2014_045",1.86,1.8,0.01,124.8,133.63,251434,68.07,26865774,70852935,26865774,27134156,8.45,15.06,0.06,0.03,39468731,40435514,82.55,33378537,97.6,262140,39468731,15.1,0.1
"637","ERR1473587","16-18pcw","Prenatal","11921_donorID","M","TCx","Forebrain","L",3.66666666666667,"sequencing batch:FC2014_044",2.66,2.22,0.07,131.15,136.25,248090,74.28,30903375,61581060,30903375,30790996,7.1,10.33,0.06,0.02,41604777,42610717,87.31,37201782,97.6,261979,41604777,10.3,0.1
"638","ERR1473588","10-12pcw","Prenatal","11942_donorID","F","TCx","Forebrain","R",16.6666666666667,"sequencing batch:FC2014_080",2.73,2.78,0.01,132.11,135.72,242379,74.99,34117967,60752497,34117967,33738041,7.97,8.07,0.05,0.03,45499422,47448464,87.82,41668578,95.9,268289,45499422,8.1,0.1
"639","ERR1473589","10-12pcw","Prenatal","11942_donorID","F","TCx","Forebrain","L",16.6666666666667,"sequencing batch:FC2014_080",2.16,2.77,0.01,132.65,135.82,230486,78.75,35731375,58800047,35731375,35368252,5.98,7.77,0.05,0.02,45370294,46355282,90.11,41768462,97.9,271655,45370294,7.8,0.1
"640","ERR1473590","8-9pcw","Prenatal","11845_donorID","M","TCx","Forebrain","L",2,"sequencing batch:FC2014_043",2.8,2.89,0.11,131.71,133.55,226714,77.68,33914337,50587322,33914337,33512436,7.16,5.53,0.05,0.03,43660460,44445626,92.7,41200719,98.2,287175,43660460,5.5,0.1
"641","ERR1473591","8-9pcw","Prenatal","11845_donorID","M","TCx","Forebrain","R",2,"sequencing batch:FC2014_043",2.88,2.8,0.1,132.08,134.47,199708,78.1,33459311,51395609,33459311,33148448,6.65,6.34,0.05,0.03,42843507,43661243,91.79,40076409,98.1,286346,42843507,6.3,0.1
"642","ERR1473592","8-9pcw","Prenatal","11851_donorID","F","TCx","Forebrain","L",4,"sequencing batch:FC2014_066",2.07,3.57,0.01,127.01,128.03,210554,71.25,29881979,45525428,29881979,29537042,12.01,4.07,0.05,0.04,41936848,43209605,92.99,40180007,97.1,200421,41936848,4.1,0
"643","ERR1473593","8-9pcw","Prenatal","11851_donorID","F","TCx","Forebrain","R",4,"sequencing batch:FC2014_066",2.77,3.28,0.01,131.43,133.5,256717,74.87,32931998,51711369,32931998,32721437,9.5,6.05,0.05,0.03,43988301,45872742,89.85,41214574,95.9,217090,43988301,6,0.1
"644","ERR1473594","8-9pcw","Prenatal","11873_donorID","F","TCx","Forebrain","R",18,"sequencing batch:FC2014_066",2.09,3.34,0.01,125.08,126.25,241939,68.72,30007824,48176874,30007824,29685992,13.83,4.09,0.05,0.04,43666348,45358490,92.18,41812831,96.3,207089,43666348,4.1,0.1
"645","ERR1473595","16-18pcw","Prenatal","11907_donorID","F","TCx","Forebrain","R",16.6666666666667,"sequencing batch:FC2014_054",2.29,2.81,0.02,133,136.9,277337,80.03,38877547,64959342,38877547,38470457,4.94,8.52,0.04,0.02,48580297,50100248,88.45,44312722,97,256307,48580297,8.5,0
"646","ERR1473596","10-12pcw","Prenatal","11834_donorID","M","TCx","Forebrain","L",3.83333333333333,"sequencing batch:FC2014_055",2.86,2.87,0.1,135.37,137.97,232670,82.58,34442098,50999990,34442098,34036708,4.56,6.87,0.04,0.02,41708616,42857984,90.45,38764465,97.3,249249,41708616,6.9,0
"647","ERR1473597","10-12pcw","Prenatal","11834_donorID","M","TCx","Forebrain","R",3.83333333333333,"sequencing batch:FC2014_058",3.21,2.76,0.08,136.34,139.49,277398,83.7,41736571,63225628,41736571,41331141,3.68,7.5,0.04,0.01,49861591,51090799,90.1,46031169,97.6,268551,49861591,7.5,0
"648","ERR1473598","10-12pcw","Prenatal","11885_donorID","M","TCx","Forebrain","L",NA,"sequencing batch:FC2014_058",7.52,3.21,0.07,139.75,141.68,266561,87.4,42447680,56499923,42447680,41584519,2.55,5.16,0.02,0.01,48567840,49838722,92.29,45997994,97.5,288987,48567840,5.2,0
"649","ERR1473599","10-12pcw","Prenatal","11841_donorID","M","TCx","Forebrain","R",2,"sequencing batch:FC2014_044",2.34,2.59,0.1,130.05,132.94,227974,73.23,30087148,52084080,30087148,29781499,10.02,7.14,0.06,0.03,41088001,41909275,90.9,38097168,98,277333,41088001,7.1,0.1
"650","ERR1473600","10-12pcw","Prenatal","1118_donorID","Unknown","TCx","Forebrain","R",0.583333333333333,"sequencing batch:FC2014_058",1.67,1.88,0.05,132.42,142.5,348294,76.76,40983681,94892178,40983681,41380179,3.11,15.91,0.05,0.01,53389308,55280575,80.67,44595057,96.6,229212,53389308,15.9,0.1
"651","ERR1473601","10-12pcw","Prenatal","1110_donorID","Unknown","TCx","Forebrain","R",0.5,"sequencing batch:FC2014_065",0.95,1.79,0.05,129.21,140.34,359276,73.69,41602563,104891963,41602563,41876821,4.04,17.21,0.05,0.01,56454670,58357999,79.53,46411335,96.7,208909,56454670,17.2,0.1
